name,gender,affliation
Jade Sasman,FEMALE,CT
Jae-Leigh Hoffman,FEMALE,EDEN
Janine Sait,FEMALE,CT
Japhet Chetty,MALE,ETK
Jared Biggas,MALE,ETK
Jason Brickhill,MALE,JTTA
Jazmine Kannie,FEMALE,UMG
Jerry Matsena,MALE,LIM
Jesse-Leigh Nomdo,FEMALE,UMG
Jiya Naidoo,FEMALE,UMG
Jodie Galant,MALE,CT
Jody Theunessin,FEMALE,CT
Johannesburg B,FEMALE,JHB-B
Johannesburg B,MALE,JHB-B
Jonathan Wernich,MALE,EKU
Jordan Mackrill,MALE,CW
Jordyn Reddy,FEMALE,UMG
Joshua Pillay,MALE,ETK
Juane Scholtz,FEMALE,GN
Junior Mthembu,MALE,UMZ
Jyante Jacobs,FEMALE,CT
Kabelo Letsoalo,MALE,LIM
Kabelo Phutsisi,MALE,EKU
Kadin Govindoosamy,MALE,ETK
Kael Pillay,MALE,ETK
Kagiso Sejamoholo,MALE,NW
Kai Windvogel,MALE,EDEN
Kaitlin Biggas,FEMALE,ETK
Kamogelo Maboko,MALE,LIM
Kamogelo Mojonothoane,MALE,FS
Karabo Lenyai,FEMALE,NW
Karabo Matsena,FEMALE,LIM
Karen Pillay,FEMALE,UMG
Katlego Khabela,MALE,NW
Katlego Pule,MALE,NW
Katleho Dibiloane,FEMALE,EKU
Katleho Letele,FEMALE,EKU
Katleho Maruoa,FEMALE,FS
Kavir Gayanda,MALE,ETK
Keabetswe Mpata,FEMALE,FS
Keabetswe Nyokong,FEMALE,FS
Keane Naidoo,MALE,ETK
Keenen Jooste,MALE,CT
Keletso Sebopel,FEMALE,NW
Keneilwe Maboko,FEMALE,LIM
Keona Pillay,FEMALE,UMG
Keshmika Sivnarain,FEMALE,JTTA
Kethukuthula Dzanibe,MALE,ETK
Keval Pillay,MALE,UMG
Kgalalelo Phekonyane,MALE,FS
Kgothatso Nkadimeng,FEMALE,LIM
Kgotla Thebeyame,MALE,BOT
Kgotso Sekike,MALE,FS
Khadija Osman,FEMALE,FS
Khanyisile Madlala,FEMALE,EKU
Khiara Anandhpuri,FEMALE,UMG
Kholofelo Mahatlane,FEMALE,LIM
Khulekani Nxumalo,MALE,EKU
Kian Chapman,MALE,CT
Kiaran Perumal,MALE,UMG
Kimeshni Pillay,FEMALE,UMG
Kirshwin Steyn,MALE,CT
Kobamelo Tampe,FEMALE,NW
Koketso Sethunya,MALE,FS
Kristin Kata,FEMALE,JTTA
Kritika Totaram,FEMALE,UMG
Kurt Lingeveldt,MALE,UMG
Kwanda Nhlapo,MALE,ETK
Kwanganathi Dafeti,MALE,EC
Kwena Mokwena,MALE,LIM
Laaibah Khan,FEMALE,UMZ
Lailaa Edwards,FEMALE,JTTA
Larushen Padayachee,MALE,JTTA
Latita Gologolo,FEMALE,FS
Leboga Tongwane,MALE,NC
Lebogang Moloinyana,FEMALE,NW
Lebohang Lekhotla,MALE,FS
Leche Verster,FEMALE,GN
Leneshan Vandayar,MALE,ETK
Leora Ramchurran,FEMALE,UMG
Lesego Soha,MALE,EKU
Letai-Shai Govindsamy,FEMALE,ETK
Letshego Phekonyane,FEMALE,FS
Leyla Louw,FEMALE,EDEN
Liam Beukes,MALE,JTTA
Lian Louw,MALE,EDEN
Lihle Raziya,MALE,EKU
Likum Diniso,FEMALE,WC
Likusasa Siganga,FEMALE,EC
Limise Madangatya,MALE,EC
Lindelo Nkgobang,FEMALE,NC
Lindsay October,MALE,CT
Lisakhanya Wenase,FEMALE,EKU
Lithalethu Sithende,MALE,EC
Liyaphila Thungwane,FEMALE,EC
Logan Smit,MALE,GN
Logan Willemse,FEMALE,CT
Luke Abrahams,MALE,JTTA
Luke Danster,MALE,CT
Lunga Vakele,MALE,GN
Lunje Manxiwa,FEMALE,EC
Lusanda Moloi,FEMALE,UMG
Luyanda Ngcobo,MALE,UMG
Luyanda Ngobese,MALE,UMZ
Luyanda Nxumalo,MALE,UMG
Lwanele Kulu,MALE,EKU
Lwazi Nhlapo,FEMALE,ETK
Mahi Gokal,FEMALE,ETK
Mahlatse Ramollo,MALE,LIM
Makomborero Maposa,MALE,ZIM
Mamogethi Dintsho,FEMALE,EKU
Manqoba Nyamate,MALE,JTTA
Mapiti Mohatli,MALE,LIM
Mark Williams,MALE,JTTA
Marlene Swanepoel,FEMALE,EDEN
Marquin Kayser,MALE,EDEN
Martin-Junior Booysen,MALE,WC
Marvin Musungisi,MALE,CT
Masa Motlhabane,FEMALE,BOT
Matt Gilchrist,MALE,JTTA
Matthew Lingeveldt,MALE,CT
Mbulelo Leeuw,MALE,FS
Mekhail Schroeder,MALE,CT
Melokuhle Cele,MALE,ETK
Melokuhle Xaba,FEMALE,EKU
Mhlengi Vilakazi,MALE,ETK
Micah Jones,MALE,CT
Michael Madiwa,MALE,ZIM
Michelle Modika,FEMALE,LIM
Mikal Kruger,MALE,GN
Mikayla Govender,FEMALE,ETK
Mikayla Totaram,FEMALE,UMG
Mikyle Reddy,MALE,ETK
Milcah Gologolo,FEMALE,FS
Milo Katz,MALE,CT
Minenhle Kunene,FEMALE,UMZ
Minenhle Ngqeza,FEMALE,EDEN
Mlibokazi Mjadu,FEMALE,EC
Mlungisi Makhaye,MALE,UMG
Mnikelo Dry,MALE,FS
Modjadji Pako,FEMALE,LIM
Molebatse Magopa,FEMALE,LIM
Mthabela Mxolisi,MALE,ETK
Muaaz Hoosen,MALE,JTTA
Muhammad Bholat,MALE,JTTA
Muhammad Karim,MALE,GN
Muhammed Osman,MALE,FS
Munier Ferhelst,MALE,CT
Musfiquh Kalam,FEMALE,CT
Mzwandile Nkgobang,MALE,NC
Nahum Philander,MALE,CT
Nande Nqgula,MALE,CT
Nashwin Pienaar,MALE,CT
Natalie Hechter,FEMALE,JTTA
Nathan Mckenzie,MALE,GN
Navish Panday,MALE,ETK
Ndango Madumela,FEMALE,LIM
Ndlelanhle Makhunga,MALE,UMG
Nelokuhle Mgenge,MALE,ETK
Nevadya Rampersad,FEMALE,UMG
Nhlanhla Mdebuka,MALE,FS
Nickairo Philander,MALE,WC
Nilesh Singh,MALE,JTTA
Nitara Totaram,FEMALE,UMG
Njongo Nqgula,MALE,CT
Noah Guntelach,MALE,CW
Nokubonga Mabaso,FEMALE,USSA
Nomcebo Sikhokhane,FEMALE,UMZ
Nompilenhle Chinanc,FEMALE,ETK
North West,FEMALE,NW
North West,MALE,NW
Ntando Nkosi,FEMALE,EKU
Nthabeleng Sekete,FEMALE,NW
Nthabiseng Manyama,FEMALE,LIM
Nthabiseng Thabethe,FEMALE,EKU
Ntsolloane Thobeka,FEMALE,FS
Ntuthuzelo Lusithi,MALE,USSA
Nzameko Ngambu,MALE,EC
Oageng Moabi,MALE,NW
Olerato Mboqo,MALE,NW
Olona Tolbati,FEMALE,EC
Olorato Ramagapu,FEMALE,BOT
Oluhle Gumede,MALE,ETK
Olwethu Mbatha,FEMALE,ETK
Olwethu Nxumalo,FEMALE,UMZ
Omkar Haridass,MALE,UMG
Omphemetse Mokhutsane,MALE,NW
Omphile Mokoari,FEMALE,FS
Onalenna Matekane,MALE,FS
One Lekwene,MALE,NW
Orapeleng Dithipe,MALE,NW
Oratile Seleke,MALE,NW
Oreneile Moraile,MALE,FS
Ormar Gani,MALE,LIM
Oswald Goremusandu,MALE,ZIM
Owais Jacobs,MALE,CT
Paballo Moloinyana,FEMALE,NW
Paballo Mosala,FEMALE,NW
Patricia Kgalanyane,FEMALE,NW
Phikolethu Mbanda,MALE,EC
Philo Moodley,MALE,NMB
Pierre Swanepoel,MALE,EDEN
Plan Pashi,MALE,ZIM
Precious Benson,FEMALE,JTTA
Precious Bogatsu,FEMALE,NW
Preeti Baijnath,FEMALE,UMG
Preshen Naidoo,MALE,UMG
Princess Tichiwangani,FEMALE,ZIM
Prisha Padayachee,FEMALE,UMG
Propheser Mwatsika,MALE,ZIM
Prudence Pashi,FEMALE,ZIM
Qaa-Im Jacobs,MALE,CT
Raidan Raguman,MALE,ETK
Rajiah Alonso,MALE,ETK
Rakhee Gokal,FEMALE,ETK
Rashmika Ramphal,FEMALE,JTTA
Reabetswe Mokwana,MALE,LIM
Reabetswe Morudu,FEMALE,EKU
Reabetswe Tiro,FEMALE,NW
Reamogetswe Lepheana,MALE,FS
Refilwe Mochabela,FEMALE,LIM
Refilwe Phoofolo,FEMALE,FS
Remofilwe Monnahela,MALE,NW
Remy Zaroozny,MALE,CT
Reneilwe Lekorwe,MALE,BOT
Rethabile Molisenyane,FEMALE,FS
Reynaldo Joubert,MALE,EDEN
Riaan May,MALE,NMB
Riana Fourie,FEMALE,FS
Ricardo Carrasco,MALE,FS
Ridhaa Jawitz,MALE,NMB
Rochica Sonday,FEMALE,CT
Ronel Botha,FEMALE,JTTA
Rorisang Moilanyane,FEMALE,NW
Ruan Scholtz,MALE,GN
Rupert Bester,MALE,FS
Rysan Raghunan,MALE,ETK
Saadia Edwards,FEMALE,JTTA
Saeed Tifflin,MALE,JTTA
Saerin Chetty,MALE,UMG
Saiisha Naidu,FEMALE,JTTA
Saiyin Moodley,MALE,UMG
Salma Sheik-hoosen,FEMALE,JTTA
Sam Onkarabetse,MALE,NW
Sameera Maal,FEMALE,JTTA
Samkelo Cele,MALE,ETK
Samkelo Ngweu,MALE,ETK
Samuel Schrieff,MALE,CT
Sarah Hunkin,FEMALE,JTTA
Sarah Morsner,FEMALE,JTTA
Saranon Govender,FEMALE,NMB
Sazi Eccles,MALE,GN
Sbongakonke Cele,MALE,ETK
